Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Company secretary,Entertainment,Decreasing,High,62551.35,Associate Degree,0,3527,5900,62.64,84.23,Germany,61.96
English as a second language teacher,Transportation,Increasing,High,68875.44,Bachelor’s Degree,6,7823,3984,24.43,80.31,Canada,71.09
Contractor,Healthcare,Decreasing,Low,84326.61,High School,19,9738,2960,39.66,87.0,UK,62.02
"Programmer, systems",Transportation,Increasing,High,81509.84,Bachelor’s Degree,3,991,1593,9.54,8.99,UK,28.52
Aid worker,Entertainment,Increasing,High,73269.12,High School,4,7238,5240,21.79,15.42,China,45.97
Charity fundraiser,Retail,Decreasing,High,113023.71,Bachelor’s Degree,19,6808,765,56.29,5.49,USA,33.91
Sports development officer,Healthcare,Decreasing,High,102107.47,Associate Degree,20,6596,198,28.46,28.41,India,51.35
Regulatory affairs officer,IT,Increasing,Low,97879.35,Bachelor’s Degree,6,6353,9164,75.04,82.69,UK,50.12
"Administrator, sports",Education,Increasing,High,112957.26,PhD,15,3739,1436,78.42,28.3,Germany,37.7
Mental health nurse,Education,Decreasing,Low,69068.74,Associate Degree,0,1574,2738,48.97,9.93,India,47.16
"Programmer, applications",Healthcare,Increasing,Low,80117.49,High School,8,788,7858,57.27,27.25,USA,21.01
"Psychologist, educational",Retail,Increasing,Moderate,108414.51,Master’s Degree,18,5393,6732,17.6,13.28,India,46.12
"Development worker, community",Manufacturing,Decreasing,High,93178.27,Associate Degree,13,4198,2603,34.77,29.03,Canada,58.62
Chief Marketing Officer,Finance,Decreasing,Moderate,106351.11,PhD,5,6773,7852,45.09,56.94,USA,78.33
Television production assistant,Healthcare,Increasing,Moderate,79808.72,High School,11,4120,5406,15.91,88.29,Brazil,59.94
Actor,Finance,Increasing,High,89002.69,High School,2,7564,3217,43.27,18.62,USA,61.06
Food technologist,Retail,Decreasing,Low,75991.66,High School,15,9929,4112,71.12,69.51,Canada,28.85
"Psychologist, sport and exercise",Healthcare,Increasing,Low,111217.4,Bachelor’s Degree,19,8684,6211,59.57,0.0,Brazil,42.25
Company secretary,Finance,Increasing,Moderate,104735.05,PhD,4,7305,4585,77.11,88.0,Australia,66.55
Statistician,Healthcare,Decreasing,Low,78789.59,Associate Degree,1,3860,6193,67.91,35.46,Australia,44.99
IT consultant,IT,Decreasing,Low,90779.31,High School,13,1583,7793,95.07,64.67,Brazil,59.17
Retail manager,Transportation,Increasing,Moderate,83091.68,Associate Degree,20,5388,5036,22.96,70.98,Australia,49.82
Public relations officer,Finance,Decreasing,High,102550.05,Bachelor’s Degree,7,8614,3845,94.22,53.74,UK,46.12
"Programme researcher, broadcasting/film/video",Retail,Increasing,High,87462.89,Associate Degree,10,433,1360,47.26,48.02,Germany,33.49
Hydrologist,IT,Increasing,Moderate,138586.12,Bachelor’s Degree,20,9709,4802,50.29,3.99,Canada,31.89
"Engineer, manufacturing systems",Manufacturing,Increasing,High,79785.89,High School,15,7760,9942,61.64,81.71,Australia,25.76
"Production assistant, television",Retail,Increasing,High,86169.05,Master’s Degree,8,8267,1158,85.85,74.24,Germany,73.99
Toxicologist,Transportation,Increasing,High,70871.34,Associate Degree,0,216,8346,43.72,15.3,Germany,26.5
"Scientist, water quality",IT,Decreasing,High,131245.13,Master’s Degree,16,1441,4036,26.12,16.15,Australia,76.46
"Engineer, technical sales",Finance,Increasing,Moderate,114414.4,Associate Degree,7,5908,5830,24.1,32.69,Brazil,35.45
"Engineer, maintenance",Manufacturing,Increasing,High,90897.3,Bachelor’s Degree,13,2379,1988,9.13,76.37,Canada,26.65
Animal technologist,Finance,Decreasing,Low,103689.57,Bachelor’s Degree,1,4026,8473,11.53,19.38,Canada,66.4
"Psychologist, clinical",Finance,Increasing,Low,115375.06,Associate Degree,14,8939,117,75.81,6.72,Brazil,24.95
Chief Operating Officer,IT,Increasing,High,130061.9,PhD,6,3704,9722,1.33,1.73,Brazil,48.27
Hospital doctor,Healthcare,Increasing,High,98515.03,PhD,8,1337,3090,5.45,51.86,Brazil,39.4
Learning mentor,Finance,Increasing,Moderate,93909.51,High School,15,9479,4190,50.96,58.33,Brazil,70.43
Theatre stage manager,Manufacturing,Decreasing,Moderate,85656.75,Associate Degree,2,6819,9077,32.33,0.61,UK,50.88
Senior tax professional/tax inspector,Finance,Increasing,High,122178.4,PhD,10,6328,7735,94.96,50.05,Canada,27.74
Private music teacher,Finance,Decreasing,High,110177.72,Master’s Degree,3,5527,5797,58.96,85.69,UK,30.2
Marine scientist,Entertainment,Increasing,High,104249.68,Master’s Degree,17,7027,1138,29.96,66.51,UK,41.27
Higher education lecturer,Finance,Increasing,High,103246.11,Bachelor’s Degree,14,7787,4710,7.33,82.27,USA,56.54
Air cabin crew,Education,Increasing,Moderate,70953.77,Associate Degree,2,2948,6772,58.71,30.33,Germany,77.25
Logistics and distribution manager,IT,Decreasing,Moderate,132755.41,PhD,19,9058,7808,16.27,71.06,India,43.82
"Social research officer, government",IT,Decreasing,High,127472.26,Master’s Degree,20,1256,5964,16.7,47.06,USA,20.95
Therapeutic radiographer,Healthcare,Decreasing,High,80842.85,High School,4,2937,7588,71.43,22.88,Canada,55.78
Information systems manager,Transportation,Increasing,High,86343.37,Master’s Degree,7,7620,5995,2.56,34.42,Brazil,45.01
Lawyer,Retail,Decreasing,Low,67539.12,High School,0,9633,8120,90.72,22.25,USA,37.16
"Psychologist, occupational",Healthcare,Increasing,Low,110610.36,PhD,20,7897,6150,65.4,0.95,Brazil,77.26
Animal technologist,Entertainment,Decreasing,High,112216.62,Bachelor’s Degree,18,2523,6700,47.08,36.71,Canada,43.14
"Engineer, site",Retail,Increasing,High,77293.11,High School,13,842,3897,19.36,45.36,China,44.63
"Designer, multimedia",Transportation,Decreasing,High,93826.7,PhD,16,8328,3736,67.57,82.43,Germany,76.77
Astronomer,Retail,Increasing,Moderate,91617.66,High School,19,7444,9532,75.47,0.0,Germany,74.12
Travel agency manager,Education,Decreasing,High,89717.09,Master’s Degree,4,5285,3280,66.44,37.57,Canada,28.8
Product manager,IT,Decreasing,Moderate,104775.06,Associate Degree,3,841,8935,6.04,0.0,China,69.45
Clinical research associate,Transportation,Decreasing,Moderate,95800.66,Associate Degree,18,2800,8253,33.37,20.86,USA,38.89
Speech and language therapist,Entertainment,Increasing,High,94133.77,Master’s Degree,12,8790,5353,24.1,87.08,Brazil,53.78
Advertising copywriter,Manufacturing,Decreasing,Low,68631.96,High School,1,8411,4414,22.65,31.12,India,44.66
Community development worker,Entertainment,Increasing,High,80579.55,Bachelor’s Degree,6,3036,7614,32.75,91.29,UK,21.52
Medical physicist,IT,Decreasing,Low,128965.85,Bachelor’s Degree,16,3029,483,63.36,38.09,China,34.01
Sports coach,Transportation,Increasing,High,61604.88,Associate Degree,3,9792,1492,22.59,83.93,Germany,56.54
Further education lecturer,Transportation,Increasing,Low,90518.34,Master’s Degree,13,8362,1429,46.88,67.81,China,67.77
Database administrator,Education,Decreasing,Moderate,98407.03,Master’s Degree,7,484,681,58.78,9.24,Australia,54.99
Counselling psychologist,Manufacturing,Increasing,Low,85089.46,Bachelor’s Degree,4,7109,2461,95.71,72.13,China,71.28
"Teacher, early years/pre",Healthcare,Increasing,Low,96062.71,Master’s Degree,12,3449,8183,88.57,83.03,China,21.68
Chartered certified accountant,Transportation,Increasing,Low,68889.78,Associate Degree,0,8827,4997,97.77,33.62,Canada,25.99
"Doctor, hospital",IT,Increasing,High,91856.49,High School,8,5375,3210,93.11,36.43,Canada,37.9
Midwife,Transportation,Increasing,Low,78572.03,Associate Degree,17,9918,2000,48.0,63.22,Germany,43.63
Learning mentor,Finance,Increasing,Low,104951.36,Master’s Degree,10,1982,238,90.77,68.9,Australia,38.23
Commercial horticulturist,Manufacturing,Increasing,Low,93043.22,Bachelor’s Degree,14,1047,8266,15.4,63.35,UK,76.29
Local government officer,Education,Increasing,High,84159.26,Bachelor’s Degree,11,1264,7364,89.8,62.01,Brazil,44.58
"Accountant, chartered certified",Education,Decreasing,Moderate,62704.81,High School,4,6915,931,14.53,50.81,Germany,47.95
Careers adviser,Finance,Increasing,Low,119981.73,Master’s Degree,9,207,1121,14.45,14.01,Germany,67.29
Metallurgist,Education,Increasing,High,98938.14,Master’s Degree,15,5334,8404,31.73,49.27,Germany,73.89
Materials engineer,Retail,Decreasing,Low,97137.17,High School,17,476,8141,2.6,12.79,Australia,68.6
Actor,Entertainment,Decreasing,Low,87496.46,Master’s Degree,8,4155,6221,7.99,67.25,USA,72.83
"Engineer, electrical",Education,Decreasing,Moderate,79336.16,Associate Degree,11,162,6731,40.68,86.61,Australia,56.18
Writer,Entertainment,Decreasing,High,108749.61,PhD,20,2685,5554,0.58,32.93,UK,34.02
Fast food restaurant manager,Manufacturing,Increasing,Moderate,93765.95,Master’s Degree,16,2386,1336,40.1,66.3,Australia,23.5
"Merchandiser, retail",Retail,Increasing,Low,82806.89,High School,13,2648,642,92.95,10.58,UK,79.09
Operational investment banker,Manufacturing,Increasing,Low,88946.24,PhD,8,8137,9265,99.67,80.28,Australia,64.33
Medical sales representative,Manufacturing,Increasing,Moderate,66293.76,High School,10,7601,8158,35.87,68.77,Canada,60.0
Retail buyer,IT,Increasing,Moderate,132315.68,PhD,10,9443,2759,73.22,21.26,Canada,57.34
Warden/ranger,IT,Decreasing,High,110899.84,Associate Degree,4,3550,3817,59.52,44.37,Germany,63.85
Physiotherapist,Retail,Increasing,Moderate,100704.22,Master’s Degree,20,2106,4231,35.85,66.62,China,79.78
Barrister's clerk,Transportation,Increasing,High,97139.01,PhD,13,8527,8964,67.29,85.69,India,58.32
Multimedia specialist,Healthcare,Increasing,Moderate,110151.57,PhD,19,1169,6034,17.49,71.64,UK,61.94
Logistics and distribution manager,Entertainment,Decreasing,Low,88545.6,Associate Degree,15,7072,7052,45.58,66.54,India,52.23
Media buyer,Retail,Increasing,High,89180.37,Bachelor’s Degree,14,7135,853,16.25,81.83,UK,75.34
Landscape architect,Education,Decreasing,High,93271.4,Master’s Degree,7,2883,5446,79.61,25.44,Canada,75.64
Legal executive,Retail,Decreasing,Moderate,73179.93,Bachelor’s Degree,6,9854,3982,79.03,81.5,UK,35.21
Advertising art director,Finance,Increasing,Low,99818.4,High School,15,9931,8926,79.03,54.55,Canada,57.16
Economist,Entertainment,Increasing,High,68942.47,Bachelor’s Degree,0,1535,3230,53.9,72.41,USA,69.57
Tax inspector,Manufacturing,Decreasing,High,78040.28,High School,7,5016,235,92.8,59.66,India,61.14
"Engineer, electronics",Finance,Increasing,High,91436.77,High School,9,353,8561,36.83,47.09,Canada,28.31
"Therapist, nutritional",Retail,Decreasing,High,83504.38,Associate Degree,19,107,518,73.29,64.52,UK,77.31
Magazine journalist,Education,Decreasing,High,113057.61,PhD,19,6987,9057,7.21,49.83,UK,69.86
"Librarian, academic",Finance,Increasing,Moderate,110282.64,High School,20,1870,653,98.93,4.12,USA,27.36
Higher education careers adviser,Manufacturing,Decreasing,Moderate,111584.59,PhD,19,2166,1230,72.08,0.0,USA,43.26
Television camera operator,Education,Increasing,Low,99392.42,High School,18,9323,2955,95.57,26.9,Brazil,49.28
Trade mark attorney,Education,Increasing,Low,51015.73,High School,3,168,7554,2.84,69.84,Canada,45.25
"Education officer, community",Transportation,Decreasing,High,87125.66,PhD,7,1542,3843,75.45,75.76,UK,74.42
"Librarian, academic",Education,Increasing,Low,109350.09,Master’s Degree,16,8367,9732,5.13,1.3,Canada,35.79
Energy engineer,Healthcare,Increasing,Low,85205.47,Associate Degree,1,7179,8046,72.61,34.15,Brazil,60.76
Petroleum engineer,Education,Decreasing,Low,87657.76,Master’s Degree,2,4189,4236,16.54,0.0,Canada,29.86
Consulting civil engineer,Manufacturing,Decreasing,Moderate,80878.18,Associate Degree,5,2501,8915,33.32,20.08,India,62.4
"Scientist, research (medical)",Retail,Increasing,Moderate,61653.21,Associate Degree,0,4512,2200,82.78,53.27,UK,27.87
Child psychotherapist,Manufacturing,Increasing,Moderate,91732.98,Bachelor’s Degree,7,7444,6199,77.69,33.92,Australia,68.2
Land/geomatics surveyor,Retail,Decreasing,High,111231.36,PhD,12,1867,2679,76.15,0.06,Canada,73.15
Barrister's clerk,Retail,Decreasing,Moderate,95743.15,Master’s Degree,7,4806,5880,36.23,0.0,Canada,57.92
Industrial buyer,Education,Decreasing,Moderate,103590.27,Associate Degree,18,4712,8455,31.45,0.0,Australia,60.65
Patent examiner,Transportation,Decreasing,High,72445.5,Associate Degree,7,2767,9460,61.12,35.6,Germany,36.99
"Journalist, magazine",Finance,Decreasing,Low,134978.37,Master’s Degree,15,4982,3066,15.63,34.51,China,24.83
Manufacturing engineer,Transportation,Decreasing,Low,109993.95,PhD,16,8995,5686,1.48,32.47,USA,79.98
Newspaper journalist,Manufacturing,Decreasing,High,93438.75,High School,15,5493,7642,33.9,0.0,China,29.27
Radiation protection practitioner,Transportation,Increasing,Low,90728.3,Bachelor’s Degree,12,747,2360,76.44,8.98,USA,32.92
Higher education careers adviser,Entertainment,Decreasing,Low,91446.42,Associate Degree,11,9186,6910,32.85,44.89,UK,47.8
"Scientist, forensic",Transportation,Increasing,Low,89441.62,Associate Degree,20,7238,4197,15.94,43.28,Brazil,57.69
Orthoptist,Healthcare,Decreasing,Low,80369.61,Associate Degree,2,3990,1715,96.61,8.82,Brazil,39.28
Musician,Entertainment,Increasing,High,89323.11,Master’s Degree,6,4789,8270,50.89,55.99,Australia,48.79
Publishing copy,Healthcare,Decreasing,High,93363.33,Bachelor’s Degree,5,1157,2170,6.34,2.94,USA,67.55
"Surveyor, building",Healthcare,Increasing,Low,109572.78,Master’s Degree,16,9532,5339,7.07,9.8,Germany,27.91
"Administrator, education",IT,Increasing,Moderate,105512.77,Master’s Degree,1,664,7994,79.15,13.82,Germany,57.87
"Scientist, forensic",Finance,Decreasing,Low,102962.19,High School,11,4464,5786,80.69,29.55,India,53.99
"Scientist, forensic",Healthcare,Decreasing,Low,99224.02,Master’s Degree,13,8640,1131,67.48,82.9,Canada,35.56
"Designer, textile",Manufacturing,Decreasing,Moderate,111073.88,Bachelor’s Degree,20,4869,2003,38.42,35.59,USA,77.55
Clinical embryologist,Healthcare,Decreasing,High,112104.4,PhD,15,2328,1163,97.61,36.15,Brazil,27.38
"Accountant, chartered certified",Manufacturing,Increasing,High,84281.44,Associate Degree,15,7210,2126,51.34,80.96,Brazil,74.14
"Buyer, industrial",Finance,Increasing,Low,98858.24,PhD,0,6270,640,67.18,73.25,Brazil,23.41
"Research officer, trade union",Manufacturing,Decreasing,Low,76922.3,Bachelor’s Degree,4,1513,1071,98.45,96.79,Germany,58.27
Office manager,Healthcare,Increasing,Moderate,111987.56,Master’s Degree,5,9777,6769,37.72,20.47,Germany,78.29
Field seismologist,Education,Decreasing,Low,96105.85,Associate Degree,13,8988,9898,58.79,40.3,Germany,34.65
Pensions consultant,Finance,Decreasing,High,97953.14,Bachelor’s Degree,9,6763,4594,24.57,89.01,India,39.97
"Nurse, mental health",Retail,Decreasing,High,97467.16,Master’s Degree,16,4913,8281,53.02,45.84,Brazil,62.71
Bookseller,Retail,Decreasing,Low,65607.41,High School,17,2643,1924,57.55,86.59,USA,58.44
Radio broadcast assistant,Entertainment,Increasing,High,73252.91,High School,11,6676,8944,67.05,71.9,Canada,79.23
Chartered accountant,IT,Increasing,High,148412.18,Master’s Degree,19,5612,5429,69.06,8.38,Brazil,79.86
Field trials officer,Education,Increasing,Moderate,90576.44,Bachelor’s Degree,9,2744,4708,75.34,0.0,Brazil,72.11
Farm manager,Healthcare,Decreasing,High,110438.78,PhD,1,6974,3786,35.02,14.23,China,53.03
Maintenance engineer,Retail,Increasing,High,96884.72,PhD,3,1691,9256,70.51,5.96,China,52.72
"Pharmacist, hospital",Education,Decreasing,High,90737.03,Associate Degree,16,5087,8321,97.66,64.71,Australia,51.23
Haematologist,Retail,Increasing,High,73332.15,High School,16,2131,7320,88.4,81.51,China,56.5
IT trainer,Education,Decreasing,Moderate,111712.53,PhD,15,1738,8454,88.55,28.27,China,67.99
Archivist,Manufacturing,Decreasing,High,69586.91,High School,7,3317,3651,92.22,64.79,India,52.41
Mental health nurse,Finance,Decreasing,High,85911.81,Associate Degree,9,2748,3296,9.72,75.4,Germany,45.41
"Scientist, biomedical",Manufacturing,Increasing,High,98323.06,Bachelor’s Degree,6,5336,3301,21.83,17.14,UK,31.1
Newspaper journalist,Retail,Decreasing,Low,108734.38,Master’s Degree,15,8078,4596,22.5,32.42,China,78.93
"Engineer, agricultural",Finance,Increasing,Moderate,111274.0,Associate Degree,13,2757,1707,93.95,22.28,China,35.88
"Sound technician, broadcasting/film/video",Finance,Increasing,Low,137590.8,Master’s Degree,12,3693,4543,55.41,47.38,USA,36.89
Fish farm manager,IT,Increasing,High,109923.38,Bachelor’s Degree,14,3744,3941,88.32,62.67,UK,58.83
Academic librarian,IT,Decreasing,High,128269.32,Associate Degree,16,8706,5649,28.33,0.0,China,59.95
Insurance account manager,Finance,Decreasing,High,113340.91,Bachelor’s Degree,17,2003,2874,99.84,45.2,USA,54.08
English as a foreign language teacher,Education,Increasing,Low,79962.61,Associate Degree,7,7141,7541,33.34,41.5,UK,60.91
Forest/woodland manager,Entertainment,Increasing,Moderate,97331.65,PhD,9,980,9557,85.73,86.89,Canada,29.54
Chief of Staff,Retail,Decreasing,High,81627.36,Bachelor’s Degree,10,1373,8815,93.28,51.15,Germany,63.11
"Pharmacist, hospital",Education,Decreasing,High,89341.98,Associate Degree,18,2988,1397,37.4,48.35,Germany,40.42
Office manager,Retail,Decreasing,High,55211.03,High School,1,3348,826,43.92,71.71,Brazil,50.43
"Teacher, early years/pre",Finance,Decreasing,Moderate,115047.03,Master’s Degree,2,5037,3439,89.97,36.38,Germany,65.07
Museum/gallery conservator,Entertainment,Increasing,Low,92303.27,Associate Degree,14,774,5105,98.67,44.83,Germany,74.2
"Designer, textile",IT,Decreasing,Moderate,101718.44,Bachelor’s Degree,6,4216,459,23.32,60.74,India,67.51
Arts development officer,Retail,Increasing,Moderate,83889.7,Associate Degree,7,5286,9948,16.56,5.4,China,41.9
"Geologist, engineering",Entertainment,Increasing,Moderate,81937.06,Associate Degree,8,6493,4744,67.8,33.69,Germany,24.27
"Designer, television/film set",Entertainment,Increasing,Moderate,92138.76,Master’s Degree,0,351,5241,64.61,41.6,Brazil,45.62
Facilities manager,Retail,Decreasing,Moderate,83410.74,Master’s Degree,4,1723,1244,53.31,88.3,India,38.83
Web designer,Transportation,Decreasing,Moderate,114464.17,PhD,19,4941,4089,88.41,25.61,UK,34.94
Technical brewer,Entertainment,Decreasing,Moderate,79496.11,Associate Degree,10,9349,2230,91.44,61.19,China,63.59
Video editor,Transportation,Increasing,Moderate,96584.86,Associate Degree,15,9807,4460,90.44,22.71,China,22.1
Corporate treasurer,Finance,Decreasing,Low,112462.96,Master’s Degree,0,6882,4489,88.86,57.05,Australia,22.52
Risk analyst,Transportation,Increasing,Low,79411.9,High School,15,5250,8017,33.95,47.47,Brazil,56.22
Retail merchandiser,Transportation,Increasing,High,82364.47,Master’s Degree,4,2978,1801,71.26,53.65,Germany,68.29
Database administrator,IT,Decreasing,Low,153656.08,Bachelor’s Degree,20,3544,1907,58.35,25.82,UK,41.65
"Engineer, land",Manufacturing,Increasing,Low,76756.69,High School,3,9640,7541,45.9,32.1,Brazil,26.14
Operational investment banker,Education,Decreasing,Moderate,72810.88,Associate Degree,2,2605,2481,84.39,51.5,USA,60.76
Horticultural therapist,Education,Decreasing,High,79108.49,Master’s Degree,1,2961,8900,20.29,55.66,Brazil,70.86
Aid worker,Entertainment,Increasing,Moderate,78778.8,High School,7,8889,5040,70.87,47.37,Brazil,45.45
Midwife,Healthcare,Increasing,Low,92383.97,Bachelor’s Degree,0,1563,5171,65.76,23.24,Australia,66.98
"Therapist, horticultural",Manufacturing,Increasing,High,86225.6,PhD,3,8387,2712,2.63,69.25,UK,42.94
"Psychologist, educational",Finance,Increasing,Low,132081.36,Master’s Degree,18,7135,4139,6.01,0.0,China,66.03
"Restaurant manager, fast food",Manufacturing,Increasing,Low,96483.55,Bachelor’s Degree,9,9716,4134,45.57,38.35,Canada,73.73
Race relations officer,Entertainment,Increasing,Moderate,111483.6,Bachelor’s Degree,17,8381,443,15.41,0.0,India,55.72
"Doctor, hospital",Education,Increasing,Moderate,75793.33,Associate Degree,7,1027,6173,26.13,4.0,Brazil,63.34
Hydrologist,Education,Increasing,High,106720.02,PhD,10,1941,9165,37.58,43.05,UK,58.97
Physiotherapist,Education,Increasing,Low,67213.0,High School,8,7819,6914,82.85,65.23,India,27.51
"Psychotherapist, child",Retail,Decreasing,High,71290.59,High School,4,6822,5104,72.29,16.27,Brazil,67.9
Information systems manager,Manufacturing,Decreasing,Moderate,102079.37,PhD,13,4243,4717,50.81,39.18,USA,60.38
Theatre stage manager,Healthcare,Increasing,Moderate,110580.17,PhD,19,1294,4384,75.17,64.68,Germany,24.02
Water engineer,Manufacturing,Decreasing,Low,90309.74,High School,10,8872,2977,62.48,13.63,Brazil,73.06
Tree surgeon,IT,Increasing,Low,138726.34,PhD,18,5633,1554,79.12,40.15,Canada,58.07
Physiological scientist,Healthcare,Decreasing,Low,87665.61,High School,13,1689,854,74.23,50.85,UK,45.42
"Surveyor, quantity",Retail,Decreasing,High,110308.17,PhD,10,3128,1410,32.9,19.68,India,76.03
"Development worker, community",Finance,Decreasing,Low,103004.5,High School,10,4786,6247,70.3,27.06,India,53.09
Biomedical scientist,Transportation,Decreasing,Low,99796.48,PhD,3,4606,2403,6.9,14.2,UK,32.62
"Development worker, international aid",Education,Increasing,High,101884.35,Master’s Degree,13,7199,826,49.72,13.21,Germany,44.44
Financial trader,IT,Decreasing,Low,123051.72,Associate Degree,17,8189,316,57.22,33.36,India,37.98
Automotive engineer,Transportation,Increasing,High,89595.33,Bachelor’s Degree,17,9154,7393,47.87,50.45,UK,63.34
Retail manager,Education,Increasing,Low,92388.87,PhD,4,1444,2673,83.25,45.88,Australia,40.27
Medical physicist,Manufacturing,Decreasing,Moderate,84838.33,Associate Degree,7,2069,9227,43.28,44.82,Canada,44.42
"Sound technician, broadcasting/film/video",Manufacturing,Increasing,High,105318.74,Master’s Degree,9,3059,8334,81.61,41.75,Canada,28.83
Warden/ranger,Education,Increasing,Low,111352.73,PhD,12,5490,7406,18.87,13.65,Germany,64.96
"Engineer, technical sales",Healthcare,Increasing,Moderate,110190.76,Bachelor’s Degree,14,5685,990,30.38,6.41,USA,53.27
Holiday representative,Healthcare,Increasing,Low,112257.36,PhD,5,4997,8902,29.61,43.37,Canada,77.13
Acupuncturist,Entertainment,Decreasing,Low,111586.44,Master’s Degree,19,2174,234,21.75,3.68,UK,62.93
Museum/gallery conservator,Entertainment,Increasing,Low,80647.78,Bachelor’s Degree,5,3761,2021,49.16,11.33,China,79.74
Patent examiner,Finance,Decreasing,Moderate,97856.22,Associate Degree,4,3001,4431,88.97,24.41,Germany,61.12
Ceramics designer,Entertainment,Decreasing,Low,74227.69,High School,6,2609,2446,91.91,95.98,China,33.03
"Pilot, airline",Healthcare,Increasing,Low,77258.2,High School,9,4527,649,50.0,39.89,Germany,30.82
Insurance account manager,Finance,Decreasing,Moderate,101799.52,High School,12,8829,5650,21.96,27.01,Germany,73.21
"Teacher, adult education",Transportation,Increasing,Low,92613.39,Master’s Degree,11,9081,3934,39.85,3.72,Canada,36.66
"Engineer, biomedical",Transportation,Increasing,High,64202.83,Associate Degree,1,9252,3331,80.67,39.01,UK,27.65
Warehouse manager,Entertainment,Decreasing,High,84993.19,Associate Degree,2,135,3175,94.68,16.28,China,53.26
Wellsite geologist,Education,Decreasing,Moderate,92482.96,High School,19,5623,7134,64.25,34.45,China,67.63
Regulatory affairs officer,Healthcare,Decreasing,Moderate,114298.11,PhD,11,8406,5267,22.93,7.76,India,26.47
Learning disability nurse,Education,Decreasing,Low,109549.35,Master’s Degree,11,9879,5721,66.87,42.04,Brazil,61.78
IT technical support officer,Retail,Increasing,High,65080.82,Bachelor’s Degree,5,4042,6072,14.38,94.3,Canada,22.66
"Engineer, electronics",Manufacturing,Increasing,Low,76998.49,Associate Degree,5,9604,9557,86.66,0.0,Brazil,53.22
"Engineer, agricultural",Transportation,Decreasing,Moderate,120365.37,Bachelor’s Degree,19,6306,8476,13.39,32.92,India,51.67
Radio producer,IT,Increasing,High,93381.44,PhD,0,426,8985,45.63,52.95,Germany,44.74
"Psychologist, counselling",Manufacturing,Increasing,Moderate,107300.34,PhD,9,9801,1793,96.23,30.38,China,77.46
Recruitment consultant,Entertainment,Decreasing,Moderate,101723.39,Bachelor’s Degree,13,3925,4916,70.31,40.82,Canada,63.61
"Editor, magazine features",Retail,Decreasing,Low,105742.48,Master’s Degree,16,1278,3947,42.52,40.45,UK,71.46
Investment analyst,Entertainment,Decreasing,High,81477.03,Associate Degree,13,8094,936,99.17,13.37,Brazil,70.02
Chief of Staff,Transportation,Increasing,High,90531.52,Bachelor’s Degree,20,499,4346,92.95,78.02,Brazil,59.48
IT sales professional,Manufacturing,Increasing,Low,61187.01,Associate Degree,0,6584,5892,12.34,97.86,USA,47.49
Tour manager,Retail,Increasing,Low,106720.38,PhD,5,1869,2492,67.67,0.0,USA,56.83
"Teacher, primary school",Manufacturing,Increasing,Moderate,101505.65,PhD,10,2953,2060,94.93,44.41,Brazil,72.02
"Lecturer, higher education",Transportation,Decreasing,Moderate,64695.38,Bachelor’s Degree,2,4084,8430,16.67,88.89,Australia,67.33
Materials engineer,Manufacturing,Decreasing,Low,107618.15,Bachelor’s Degree,19,7491,2805,32.15,3.41,China,65.48
Insurance claims handler,Retail,Increasing,Low,59508.98,High School,3,5574,8766,80.44,74.63,India,29.32
"Therapist, occupational",Healthcare,Decreasing,High,102681.33,Associate Degree,13,5318,9802,79.79,0.55,Canada,49.25
Solicitor,Transportation,Increasing,Moderate,50000.0,High School,0,2462,3113,45.9,80.9,USA,76.14
"Designer, industrial/product",Transportation,Decreasing,Moderate,56767.96,High School,3,958,9869,94.91,53.04,Brazil,30.45
Animal technologist,Manufacturing,Decreasing,Moderate,109231.63,PhD,20,4191,3655,99.22,10.55,India,69.3
"Accountant, chartered public finance",Manufacturing,Decreasing,Moderate,100218.57,PhD,16,6622,1421,19.56,70.92,Canada,40.64
Holiday representative,Transportation,Decreasing,Moderate,68834.05,High School,18,4283,9404,18.51,84.31,India,67.04
"Conservation officer, nature",Finance,Decreasing,High,94214.31,Master’s Degree,2,626,2539,82.73,77.3,Brazil,47.38
Learning disability nurse,Education,Decreasing,Low,110665.53,Associate Degree,20,1411,9269,55.02,0.0,UK,39.56
"Pharmacist, hospital",Manufacturing,Increasing,Moderate,97085.65,PhD,0,3345,6105,22.87,45.58,Australia,54.16
Commercial horticulturist,Finance,Decreasing,Moderate,103221.0,Master’s Degree,3,7588,1184,80.25,78.8,India,29.09
Best boy,Transportation,Increasing,High,109923.79,Master’s Degree,18,1874,1568,90.78,14.43,Brazil,56.74
Chief Marketing Officer,IT,Decreasing,Low,103684.15,Bachelor’s Degree,11,132,3673,16.77,73.85,USA,33.59
Chartered legal executive (England and Wales),Finance,Increasing,Moderate,135182.44,Master’s Degree,16,554,8001,8.35,34.64,UK,75.57
"Engineer, maintenance (IT)",Finance,Decreasing,High,101349.36,High School,13,5678,4922,73.79,7.31,USA,62.15
Trade union research officer,Healthcare,Decreasing,Moderate,102489.4,Master’s Degree,8,3912,841,81.2,45.93,China,43.02
Printmaker,Healthcare,Decreasing,Low,110905.17,PhD,15,187,257,83.94,0.0,UK,60.39
Print production planner,IT,Decreasing,Moderate,127803.1,Master’s Degree,18,3691,8515,66.29,75.46,Germany,76.97
